Date,regime
2022-09-15,Bear
2022-09-16,Bear
2022-09-19,Bear
2022-09-20,Bear
2022-09-21,Bear
2022-09-22,Bear
2022-09-23,Bear
2022-09-26,Bear
2022-09-27,Bear
2022-09-28,Bear
2022-09-29,Bear
2022-09-30,Bear
2022-10-03,Bear
2022-10-04,Bear
2022-10-07,Bear
2022-10-10,Bear
2022-10-11,Bear
2022-10-12,Crisis
2022-10-13,Crisis
2022-10-14,Crisis
2022-10-17,Crisis
2022-10-18,Crisis
2022-10-19,Crisis
2022-10-20,Crisis
2022-10-21,Crisis
2022-10-24,Crisis
2022-10-25,Crisis
2022-10-28,Crisis
2022-10-31,Crisis
2022-11-01,Crisis
2022-11-02,Crisis
2022-11-03,Crisis
2022-11-04,Crisis
2022-11-07,Crisis
2022-11-10,Crisis
2022-11-11,Crisis
2022-11-14,Crisis
2022-11-15,Crisis
2022-11-16,Crisis
2022-11-17,Crisis
2022-11-18,Crisis
2022-11-21,Crisis
2022-11-22,Crisis
2022-11-23,Crisis
2022-11-28,Crisis
2022-11-29,Crisis
2022-11-30,Crisis
2022-12-01,Crisis
2022-12-02,Crisis
2022-12-05,Crisis
2022-12-06,Crisis
2022-12-07,Crisis
2022-12-08,Crisis
2022-12-09,Crisis
2022-12-12,Crisis
2022-12-13,Crisis
2022-12-14,Crisis
2022-12-15,Crisis
2022-12-16,Crisis
2022-12-19,Crisis
2022-12-20,Crisis
2022-12-21,Crisis
2022-12-22,Crisis
2022-12-23,Crisis
2022-12-28,Crisis
2022-12-29,Crisis
2022-12-30,Crisis
2023-01-04,Crisis
2023-01-05,Crisis
2023-01-06,Crisis
2023-01-09,Crisis
2023-01-10,Crisis
2023-01-11,Crisis
2023-01-12,Crisis
2023-01-13,Crisis
2023-01-18,Crisis
2023-01-19,Crisis
2023-01-20,Crisis
2023-01-23,Crisis
2023-01-24,Crisis
2023-01-25,Crisis
2023-01-30,Crisis
2023-01-31,Crisis
2023-02-01,Crisis
2023-02-02,Crisis
2023-02-03,Crisis
2023-02-06,Crisis
2023-02-07,Crisis
2023-02-08,Crisis
2023-02-09,Crisis
2023-02-10,Crisis
2023-02-13,Crisis
2023-02-14,Crisis
2023-02-15,Crisis
2023-02-16,Crisis
2023-02-17,Crisis
2023-02-22,Crisis
2023-02-23,Crisis
2023-02-24,Crisis
2023-02-27,Crisis
2023-02-28,Crisis
2023-03-01,Crisis
2023-03-02,Crisis
2023-03-03,Crisis
2023-03-06,Crisis
2023-03-09,Crisis
2023-03-10,Crisis
2023-03-13,Crisis
2023-03-14,Crisis
2023-03-15,Crisis
2023-03-16,Crisis
2023-03-17,Crisis
2023-03-20,Crisis
2023-03-21,Crisis
2023-03-22,Crisis
2023-03-23,Crisis
2023-03-24,Crisis
2023-03-27,Crisis
